Date,Last Price,Open Price,Lowest Price,Highest Price,Diff,Volume,Volume Norm
18 Haziran 2019 ,13.22,13.22,13.02,13.28,0.26,851977943,0.312177433
17 Haziran 2019 ,13.02,13.22,12.62,13.05,0.43,824603822,0.301931046
14 Haziran 2019 ,12.68,13.02,12.56,12.86,0.3,742553611,0.27121889
13 Haziran 2019 ,12.65,12.68,12.64,12.93,0.29,649793915,0.236498075
12 Haziran 2019 ,12.95,12.65,12.92,13.15,0.23,820195573,0.300280997
11 Haziran 2019 ,12.92,12.95,12.72,13.34,0.62,950575864,0.34908355
10 Haziran 2019 ,13.26,12.92,12.92,13.4,0.48,797446726,0.291765893
07 Haziran 2019 ,13.03,13.26,12.43,13.06,0.63,830484808,0.304132354
03 Haziran 2019 ,12.44,13.03,12.39,12.57,0.18,198656535,0.067633167
31 Mayıs 2019 ,12.49,12.44,12.35,12.55,0.2,685620115,0.249908155
30 Mayıs 2019 ,12.45,12.49,12.25,12.45,0.2,968808470,0.355908184
29 Mayıs 2019 ,12.13,12.45,11.89,12.32,0.43,996860192,0.366408204
28 Mayıs 2019 ,12.08,12.13,11.99,12.23,0.24,804262183,0.294316982
27 Mayıs 2019 ,11.86,12.08,11.77,12.15,0.38,589386472,0.213887009
24 Mayıs 2019 ,11.96,11.86,11.72,12.21,0.49,947727292,0.348017303
23 Mayıs 2019 ,11.8,11.96,11.21,11.83,0.62,975494899,0.358410976
22 Mayıs 2019 ,11.26,11.8,11.24,11.87,0.63,847055896,0.310335066
21 Mayıs 2019 ,11.71,11.26,11.62,12.19,0.57,740677147,0.270516513
20 Mayıs 2019 ,12.09,11.71,11.92,12.17,0.25,630355850,0.229222227
17 Mayıs 2019 ,12.02,12.09,12.01,12.31,0.3,655449580,0.238615043
16 Mayıs 2019 ,12.27,12.02,12.15,12.41,0.26,970271415,0.356455778
15 Mayıs 2019 ,12.1,12.27,11.92,12.57,0.65,1086859912,0.400095934
